City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,11.57,96,91,1698338151,NZ,1698338151
1,tindouf,27.6711,-8.1474,25.66,22,0,1698215898,DZ,1698215898
2,port mathurin,-19.6833,63.4167,24.78,80,10,1698196163,MU,1698196163
3,iskilip,40.7353,34.4739,22.58,33,99,1698206615,TR,1698206615
4,bilibino,68.0546,166.4372,-16.93,99,33,1698179584,RU,1698179584
5,olonkinbyen,70.9221,-8.7187,2.74,93,100,1698223056,SJ,1698223056
6,siwa oasis,29.2041,25.5195,29.11,26,0,1698207913,EG,1698207913
7,adamstown,-25.066,-130.1015,22.25,83,4,1698242252,PN,1698242252
8,port augusta,-32.5,137.7667,12.19,49,7,1698177489,AU,1698177489
9,katsuura,35.1333,140.3,17.97,73,83,1698180757,JP,1698180757
10,el hamma,33.8915,9.7963,27.01,53,100,1698212007,TN,1698212007
11,ribeira grande,38.5167,-28.7,21.54,94,75,1698221603,PT,1698221603
12,margaret river,-33.95,115.0667,17.26,69,42,1698182823,AU,1698182823
13,puerto armuelles,8.2833,-82.8667,22.27,90,100,1698232748,PA,1698232748
14,bethel,41.3712,-73.414,10.27,90,0,1698232584,US,1698232584
15,inhuma,-6.6683,-41.7078,28.73,50,67,1698222100,BR,1698222100
16,west island,-12.1568,96.8225,27.99,78,40,1698188571,CC,1698188571
17,turpan,42.9333,89.1667,18.88,31,0,1698193672,CN,1698193672
18,blackmans bay,-43.0167,147.3167,7.07,76,45,1698174292,AU,1698174292
19,grytviken,-54.2811,-36.5092,2.75,84,95,1698216899,GS,1698216899
20,yellowknife,62.456,-114.3525,-4.21,86,100,1698245426,CA,1698245426
21,codrington,-38.2667,141.9667,9.48,60,79,1698176020,AU,1698176020
22,puerto natales,-51.7236,-72.4875,12.25,50,75,1698225922,CL,1698225922
23,port-aux-francais,-49.35,70.2167,4.73,83,100,1698192049,TF,1698192049
24,namibe,-15.1961,12.1522,23.0,63,29,1698208718,AO,1698208718
25,hermanus,-34.4187,19.2345,20.71,58,31,1698205769,ZA,1698205769
26,iskateley,67.6803,53.1512,-0.55,96,100,1698206705,RU,1698206705
27,vilyuchinsk,52.9306,158.4028,4.96,92,100,1698178140,RU,1698178140
28,machico,32.7,-16.7667,27.62,76,20,1698218302,PT,1698218302
29,anacortes,48.5126,-122.6127,7.15,94,100,1698245116,US,1698245116
30,praia da vitoria,38.7333,-27.0667,22.14,83,40,1698221229,PT,1698221229
31,terrace,54.5163,-128.6035,-1.05,50,0,1698247339,CA,1698247339
32,los arabos,22.7281,-80.7214,23.45,82,48,1698233022,CU,1698233022
33,keflavik,64.0049,-22.5624,8.95,76,100,1698223749,IS,1698223749
34,edinburgh of the seven seas,-37.0676,-12.3116,9.67,78,60,1698213117,SH,1698213117
35,bredasdorp,-34.5322,20.0403,21.92,51,30,1698205566,ZA,1698205566
36,las higueras,-33.0923,-64.289,14.2,80,38,1698225902,AR,1698225902
37,laojunmiao,39.8333,97.7333,9.1,29,3,1698191345,CN,1698191345
38,chichiriviche,10.9333,-68.2772,27.08,85,98,1698229384,VE,1698229384
39,klyuchi,52.2667,79.1667,11.61,39,100,1698197093,RU,1698197093
40,papatowai,-46.5619,169.4708,15.82,57,97,1698254898,NZ,1698254898
41,barcelos,41.5388,-8.6151,19.08,92,100,1698217034,PT,1698217034
42,ust-nera,64.5667,143.2,-21.93,99,61,1698184034,RU,1698184034
43,udayagiri,20.1333,84.3833,23.34,77,91,1698193235,IN,1698193235
44,ilulissat,69.2167,-51.1,-4.99,58,20,1698232423,GL,1698232423
45,spring creek,40.7266,-115.5859,8.55,41,43,1698242657,US,1698242657
46,geraldton,-28.7667,114.6,20.23,77,1,1698183312,AU,1698183312
